Title,Date,Size,Location,Description,Price
Apartment to purchase in Oasis. Surface a...,Published today,"3 bedrooms, 128 m²","Oasis in
	 					Casablanca","don't miss out on this apartment for sale. price 2,650,000 dh. 4 living areas, 2 bathrooms, 135 m². 3 bedrooms. new.

come and check out this apartment for sale in oasis, casablanca.","<span class=""priceTag hardShadow float-right floatL yellowBg"">2,640,000 DH
					</span>"
Beautiful apartment for sale in Oasis. 3...,Published today,"2 bedrooms, 98 m²","Oasis in
	 					Casablanca","amazing deal on this apartment for sale. price 1,900,000 dh. 3 living areas, 2 bathrooms, area 98 m². 2 rooms. new. secured residence. superb moroccan living room and satellite dish.

this apartment is for
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">1,900,000 DH
					</span>"
Apartment to purchase in Maârif Extension...,Published today,"2 bedrooms, 79 m²","Maârif Extension in
	 					Casablanca","ideal for investors or young professionals looking to buy a property, the diaz residence is a project that reconciles the city centre with unprecedented calm.

avant-gardism and comfort, define perfectly
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">1,561,000 DH
					</span>"
Apartment to purchase in Ahl Loghlam (Hay...,Published today,"3 bedrooms, 82 m²","Ahl Loghlam (Hay Assalam) in
	 					Casablanca","it is in the heart of the new city of tit mellil, only 2mins from the ring road and 20mins from mohamed v airport, that shems al madina makes you discover its new residence ""echellalate tit mellil"" more
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">340,000 DH
					</span>"
Apartment to purchase in Ahl Loghlam (Hay...,Published today,"3 bedrooms, 67 m²","Ahl Loghlam (Hay Assalam) in
	 					Casablanca","it is in the heart of the new city of tit mellil, only 2mins from the ring road and 20 mins from mohamed v airport, that shems al madina makes you discover its new residence ""echellalate tit mellil"" more
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">250,000 DH
					</span>"
Apartment for sale in Californie. Area 88...,Published today,"3 bedrooms, 88 m²","Californie in
	 					Casablanca","get a great deal by buying this apartment. 3 rooms, 2 bathrooms, area 88 m².

this apartment is for sale in californie, casablanca. fitted kitchen. secured neighbourhood.","<span class=""priceTag hardShadow float-right floatL yellowBg"">
							Price on request
						
					</span>"
Sell apartment in Ahl Loghlam (Hay Assala...,Published today,"3 bedrooms, 67 m²","Ahl Loghlam (Hay Assalam) in
	 					Casablanca","it is in the heart of the new city of tit mellil, only 2mins from the ring road and 20 mins from mohamed v airport, that shems al madina makes you discover its new residence ""echellalate tit mellil"" more
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">250,000 DH
					</span>"
Sale of a lovely apartment in City Dar Es...,Published today,"2 bedrooms, 80 m²","City Dar Es Salaam in
	 					Casablanca","amazing deal on this apartment for sale. price 752,000 dh. 2 rooms, 1 bathroom, 80 m². 3 rooms. new. fully equipped kitchen.

this apartment is for sale in city dar es salaam, casablanca. built-in oven. no
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">752,000 DH
					</span>"
Serenity Square,,,Les princesses in Casablanca,"the project is built in r 5, located in one of the most sought after areas of the city of casablanca, namely maarif on boulevard yacoub mansour, offering high standing studios with an area of 38 m² to 72 m²

the studios offer high-end services combining comfort and luxury
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">
<span class=""fSize13"">From </span>870,000 DH
					</span>"
Sell apartment in Oulfa. Area 107 m². Ter...,Published today,"2 bedrooms, 107 m²","Laymoune in
   						Casablanca","ideal apartment for sale. price 1,450,000 dh. 2 bedrooms, 2 bathrooms, 107 m². 6 rooms. 1st storey. less than 1 year. covering: marble. perfectly equipped with reinforced door, central heating and double
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,450,000 DH
					</span>"
